hypothesis,model,asset_setup,assets,seq_len,threshold,taa_band,risk_aversion,bl_tau,regime_view_scale,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,delta_dd,delta_ret,n_signals_fired,elapsed_seconds,status
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.5,4.0,0.05,2.0,3,18.313982131125584,0.09519363418662508,0.09113661752986667,-0.18719683796801423,0.824176593760402,0.50852159267183,0.11822219554338487,0.010249710018662483,61,15.534783601760864,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,2.0,3,18.697694800727465,0.0948751053191701,0.0913150637205376,-0.19053698960590715,0.8195691582559712,0.49793536423244045,0.11488204390539114,0.009931180667707817,61,12.647531747817993,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,2.0,3,18.70505693172754,0.09219076340738352,0.09171057799222598,-0.18753075473243297,0.7896469419702135,0.4916034361346244,0.11788827877896613,0.0072468392394209324,53,16.385360717773438,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,2.0,3,19.002227361072833,0.09238366421001487,0.09186894821483653,-0.1905369896059067,0.7903770251664441,0.48485947217437797,0.11488204390539158,0.007439739558552594,53,11.884225606918335,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.5,4.0,0.05,1.5,3,19.42167883835598,0.09472378809894955,0.09247446723375598,-0.1964661092487534,0.8089627465431952,0.4821380565897809,0.10895292426264569,0.009779863930986954,61,15.205243587493896,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,1.5,3,19.643127228742152,0.09285466792179653,0.0928198309604642,-0.19646610924875385,0.7878829600734425,0.4726243537720259,0.10895292426264525,0.007910743753833938,53,13.192599534988403,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.5,3,19.730653133374894,0.09731824466693872,0.09292375568053984,-0.2017010203201478,0.8309926279788782,0.4824876171299053,0.10371801319115048,0.012374320015476448,61,12.97508978843689,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.5,3,19.947129316475255,0.09552709951208183,0.09329737235668681,-0.20170102032014758,0.8105239227083116,0.473607418348492,0.1037180131911507,0.010583174860619549,53,13.859591484069824,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.5,4.0,0.05,1.0,3,20.85238176439378,0.09506643090154832,0.09432346885436917,-0.20926677969111696,0.7982786377725911,0.45428343209499744,0.09615225382028214,0.010122506733585723,61,18.199650764465332,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,1.0,3,21.054343178858744,0.09330612960380114,0.09458278170127198,-0.20926677969111662,0.7793358204442491,0.4458716751006705,0.09615225382028247,0.008362205435838543,53,14.184074640274048,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.0,3,21.31231482529613,0.09569761282885203,0.09513049881097704,-0.21369026227083632,0.7983834206595498,0.44783328829257796,0.09172877124046197,0.010753688177389753,61,10.659584760665894,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.0,3,21.472175476178123,0.09426404592714976,0.09529553841809368,-0.21369026227083732,0.7834228349362093,0.44112466766350233,0.09172877124046097,0.009320121275687487,53,10.161005735397339,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,0.5,2,1026.600067047345,0.0978814654444883,0.1005064672170715,-0.2566878343504328,0.781065217416464,0.3813249104391119,0.0487311991608654,0.0129375407930261,61,12.528321266174316,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1026.6813571517596,0.0968188661369624,0.1002567689536911,-0.2566878343504329,0.7730949901001943,0.3771852545406741,0.0487311991608653,0.0118749414855001,53,11.848828077316284,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.75,4.0,0.05,0.5,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,0.0487189415480987,0.0101036229223308,61,15.262210130691528,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,1.0,4.0,0.05,0.5,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,0.0487189415480987,0.0101036229223308,61,14.17130446434021,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.5,4.0,0.05,0.5,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,0.0487189415480987,0.0101036229223308,61,16.297626972198486,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.75,4.0,0.05,0.5,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,0.0487189415480987,0.0094179737281119,53,16.583797693252563,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,0.0487189415480987,0.0094179737281119,53,13.754948139190674,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,0.0487189415480987,0.0094179737281119,53,17.875241994857788,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,1.0,4.0,0.05,0.5,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,0.0487189415480987,0.0094179737281119,53,15.257799625396729,discard
h1,xgb_lstm,policy_plus_jpy,"US Equity,US Treasuries,US TIPS,US REITs,Gold,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1027.4839013494434,0.0700180831768302,0.0955412562417008,-0.2393339236063929,0.5472587843212233,0.2925539435520287,0.0660851099050061,-0.0006582242657529,53,12.292468786239624,discard
h1,xgb_transformer,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1027.5790036525088,0.08991586060536,0.1009535480060193,-0.2573761745622148,0.7061191309286114,0.3493558048187749,0.0480428589491842,0.0049719364373974,53,16.860917806625366,keep
h1,xgb_lstm,policy_plus_jpy,"US Equity,US Treasuries,US TIPS,US REITs,Gold,JPY",6,0.5,0.5,4.0,0.05,0.5,2,1027.6284204381527,0.0691051705818288,0.0951606219387918,-0.2393339236063926,0.5400931546534535,0.2887395549302859,0.0660851099050064,-0.0015711368607542,61,13.854017496109009,discard
h1,xgb_transformer,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,0.5,2,1029.0069871265875,0.0931787887469044,0.1003209490237657,-0.2664638554945074,0.7395896705893549,0.3496864089652305,0.0389551780167908,0.0082348640954421,61,15.746242761611938,keep
h1,xgb_transformer,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1029.13581366661,0.0918970829136118,0.1003275085906983,-0.2664638554945071,0.7278474685262741,0.3448763538419425,0.0389551780167911,0.0069531582621495,53,13.823317289352415,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.45,0.5,4.0,0.05,0.5,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.3319303824750393,0.0238719766638256,0.008510098096174,73,15.512567281723022,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.45,0.75,4.0,0.05,0.5,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.3319303824750393,0.0238719766638256,0.008510098096174,73,15.809643507003784,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.45,1.0,4.0,0.05,0.5,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.3319303824750393,0.0238719766638256,0.008510098096174,73,16.613202810287476,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.6,0.5,4.0,0.05,0.5,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.3091541043052392,0.0087392382906165,0.0067758521889802,45,13.893888235092165,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.6,0.75,4.0,0.05,0.5,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.3091541043052392,0.0087392382906165,0.0067758521889802,45,14.739593982696531,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.6,1.0,4.0,0.05,0.5,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.3091541043052392,0.0087392382906165,0.0067758521889802,45,14.48510241508484,discard
h3,xgb_transformer,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1037.301395918652,0.0883223818913836,0.102607279510037,-0.3043645307839323,0.6825302081221654,0.2901861845199153,0.0010545027274667,0.003378457723421,49,20.108275175094604,keep
h4,xgb_transformer,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1037.354846656371,0.0898571699635881,0.102406448540737,-0.3054995939932796,0.6974465372988498,0.2941318801411069,-8.488097318049004e-05,0.003048869512493,11,15.285086631774902,keep
h4,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1037.5356617740845,0.0882613942785226,0.102618824032808,-0.3054995939932796,0.681925609729872,0.2889083848683092,-8.488097318049004e-05,0.0014530938274275,11,14.611015558242798,keep
h2,xgb_transformer,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1038.2901261551956,0.0897584379520559,0.1116605115174535,-0.3054995939932795,0.6477621125801355,0.2938086980044578,0.0052798112479127,0.0025874526188547,47,17.150349378585815,keep
h2,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1038.783476668668,0.0938797041088517,0.1128305107629493,-0.3094419800162913,0.6756746633818635,0.3033838657053228,0.0013374252249009,0.0067087187756504,47,15.433887958526611,keep
h3,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1038.9719680557616,0.0828878155657451,0.101484612421273,-0.3105614418510444,0.639603986502665,0.2668966729150518,-0.0051424083396452,-0.0020561086022174,49,16.179022073745728,keep
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.55,0.5,4.0,0.05,0.5,1,2030.6167280374643,0.0677892911642801,0.0964470301643846,-0.2576494162694095,0.5215733353050933,0.2631067135560542,0.0477696172418887,-0.0028870162202558,53,12.37150239944458,keep
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.5,0.5,4.0,0.05,0.5,1,2030.8583660708791,0.0663964376476615,0.0960777034652966,-0.2576494162694089,0.509618063762581,0.2577007105587023,0.0477696172418893,-0.0042798697368744,61,13.071996212005615,keep
h1,xgb_transformer,policy_plus_jpy,"US Equity,US Treasuries,US TIPS,US REITs,Gold,JPY",6,0.55,0.5,4.0,0.05,0.5,1,2032.1919285813128,0.0659325830390957,0.0967651181494692,-0.2635096668709262,0.502203617241841,0.2502093521729934,0.0419093666404728,-0.0047437244034873,53,14.161688089370728,discard
h1,xgb_transformer,policy_plus_jpy,"US Equity,US Treasuries,US TIPS,US REITs,Gold,JPY",6,0.5,0.5,4.0,0.05,0.5,1,2032.297536106008,0.0651258642488663,0.0962077558159572,-0.2635096668709261,0.4966807951199797,0.2471479131001546,0.0419093666404729,-0.0055504431937167,61,13.769978761672974,discard
h1,xgb_transformer,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.55,0.5,4.0,0.05,0.5,1,2038.1307390493937,0.0639417991278641,0.1003902173996885,-0.2894003856749891,0.4695155552209545,0.2209457979080716,0.0160186478363091,-0.0067345082566718,53,14.445239543914797,keep
h1,xgb_transformer,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.5,0.5,4.0,0.05,0.5,1,2038.3199135423577,0.0627216235374605,0.0998416111485206,-0.2894003856749897,0.4600486950777181,0.2167295782663535,0.0160186478363085,-0.0079546838470754,61,15.56853413581848,keep
